name,vhf,uhf,shf,fm,linear,digi,uplink,downlink,beacon
LILACSAT-2,1,1,,1,1,1,144.350,437.200,
AO-27,1,1,0,1,0,0,145.850,436.795,
AO-07,1,1,0,0,1,0,432.180-120,145.975-925,145.9775
AO-91,1,1,0,1,0,0,435.250 +67Hz,145.960,
AO-92,1,1,1,1,0,0,435.350 +67Hz / 1267.350 + 67Hz,145.880,
XW-2A,1,1,0,0,1,0,435.030-050,145.665-685,145.660
XW-2C,1,1,0,0,1,0,435.150-170,145.795-815,145.790
XW-2D,1,1,0,0,1,0,435.210-230,145.860-880,145.855
XW-2F,1,1,0,0,1,0,435.330-350,145.980-146.000,145.975
CAS-4A,1,1,0,0,1,0,435.210-230,145.860-880,145.855
CAS-4B,1,1,0,0,1,0,435.270-290,145.915-935,145.910
RS-44,1,1,0,0,1,0,145.965 MHz +/- 30 kHz,435.640 MHz +/- 30 kHz,
SO-50,1,1,0,1,0,0,145.850 +67Hz (74.4Hz),436.795,435.605 CW
AO-73,1,1,0,0,1,0,435.130-150,145.950-970,145.935 BPSK
EO-88,1,1,0,0,1,0,435.015-045,145.960-990,145.940 BPSK
NO-84,1,1,0,0,0,1,28.120 PSK31 SSB,145.825 APRS, 435.350 PSK31/FM
ISS,1,1,0,1,0,1,145.990 + 67Hz,145.895,
PO-101,1,1,0,1,0,0,437.500 + 141.3Hz,145.900,
